,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Tests,Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM
14070,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
14081,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,7,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
14084,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,5,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
14604,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,1950,33.2,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
14610,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,1950,33.2,,0.067,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
14628,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,TMOTOR V2307 V2.0,4.0,28.6,30.95,,1950,35.1,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
14634,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,TMOTOR V2307 V2.0,4.0,28.6,30.95,,1950,35.1,,0.067,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
14749,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1950,35.2,,0.05,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13940.827847134055,0.024569362099097162,5.017150285803675,0.2339545497777203,14149.65793279658,0.019666516185947742,2.875303253368564,1.0
15108,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
15114,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
15256,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS Wu,5.0,27.7,18.7,,1750,31.15,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19425.0,0.021544509456463384,3.948237570175134,0.275477255652258,18447.73626240989,0.01958228691206861,3.588641507700801,0.9496904124792738
15472,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19974.015535965584,0.02268452388575405,4.394707904696153,0.2902965916558501,18447.73626240989,0.019582286912068606,3.793706736712275,0.9219382969248215
15888,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
15894,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
16036,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,DYS Wu,5.0,27.7,18.7,,1750,31.15,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19425.0,0.021544509456463384,3.948237570175134,0.275477255652258,18447.73626240989,0.01958228691206861,3.588641507700801,0.9496904124792738
16252,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19974.015535965584,0.02268452388575405,4.394707904696153,0.2902965916558501,18447.73626240989,0.019582286912068606,3.793706736712275,0.9219382969248215
16668,1300,11.1,3S1P,45,22.6,72.0,36.5,119.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
16674,1300,11.1,3S1P,45,22.6,72.0,36.5,119.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
17448,1300,11.1,3S1P,75,22.3,72.0,36.0,122.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
17454,1300,11.1,3S1P,75,22.3,72.0,36.0,122.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
18228,1300,11.1,3s1p,75,24.5,72.0,36.0,125.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
18234,1300,11.1,3s1p,75,24.5,72.0,36.0,125.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
21868,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,20742.862812454816,0.024326285261626425,5.094885271137016,0.3116593516609093,18447.73626240989,0.01958228691206861,4.1013045802294865,0.8838157374934921
21876,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,16192.377573465725,0.028805594760388065,4.826423727014389,0.32775846131559905,14020.065261039685,0.022066820426451025,3.697331250123932,0.8570359488220686
21888,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,14985.0,0.024958425141258147,3.5284142261541205,0.28332482381859225,14020.065356055737,0.022066820435925866,3.1196232436317204,0.9356066303674165
22128,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
22134,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
22272,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS Wu,5.0,27.7,18.7,,1750,31.15,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,19425.0,0.04033853267249593,7.392422210140062,0.46149677890407925,14020.065261039685,0.022066820426451028,4.043956054823051,0.7217536813920044
22276,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,DYS Wu,5.0,27.7,18.7,,1750,31.15,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19425.0,0.021544509456463384,3.948237570175134,0.275477255652258,18447.73626240989,0.01958228691206861,3.588641507700801,0.9496904124792738
22492,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19974.015535965584,0.02268452388575405,4.394707904696153,0.2902965916558501,18447.73626240989,0.019582286912068606,3.793706736712275,0.9219382969248215
22576,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,TMOTOR V2306 V2.0,4.0,27.9,30.3,,1950,32.0,,0.064,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,21010.192454034637,0.02490945731075728,5.086598926004942,0.3192533577516263,18447.73626240989,0.019582286912068606,3.998771965723749,0.8753422501146785
22908,1400,11.1,3S1P,50,19.5,85.0,35.0,131.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
22914,1400,11.1,3S1P,50,19.5,85.0,35.0,131.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
24204,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
24205,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13427.065727584317,0.022920553426073215,4.800469483970931,0.21800853208356577,14278.61247094427,0.017193180569836267,1.82303331887223,1.0
24221,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,7,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
24224,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,5,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
24744,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,1950,33.2,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
24760,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,2550,33.8,,0.047,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18255.324068604983,0.019206108200177787,5.128710316186984,0.24512034795486737,18359.082857395726,0.017686308809974325,4.262971569497591,1.0
24804,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13938.845558567831,0.021830907381744032,4.457948186359606,0.2472841827389398,13979.40981750195,0.02098812389873525,4.08976793735469,1.0
24838,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,13000.636543780403,0.02787578407451002,5.400418771794722,0.24362087772453436,13102.604898094964,0.02601117997839983,4.601606752095926,1.0
24904,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,2550,34.3,,0.043,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18304.81327285558,0.01930254261311968,5.154461715863363,0.24637111320358607,18376.251863955105,0.018151163644053503,4.502946977153644,1.0
