"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"2.6355519500002","1000","0","0.0001286399980766113","-0.000013795968437912","14.740784463882","0.0061566854466219","0.0907543731805725","0","0","",""
"30.87787065","1934","28389.99999999961","0.519488388296197","0.048589365356006","14.725303249359","16.42363278389","241.842973198894","144.455884274201","59.7312720578401","3.596173260136112","2.148040033683195"
"39.52637065","1849","28443.999999999978","0.5165101728876833","0.04794740457919","14.733054819107","16.657983570099","245.422985114052","142.818475019342","58.1927870174718","3.6165501194277048","2.104571308378682"
"47.76132195","1763","28118.999999999876","0.5070509113210322","0.047009000000819","14.724606189728","15.763684110641","232.114040628461","138.423396863415","59.635942956585694","3.663043407476468","2.184490476957636"
"56.00341755","1678","27401.999999999836","0.4842397796438743","0.044753519208477","14.727289018631","14.849298448563","218.689909975896","128.421598634923","58.7231476061594","3.7707035638177464","2.214275819571403"
"64.46180305","1593","26927.000000000207","0.46534417961154934","0.044004840591485","14.726556711197","14.037956094742","206.730756538512","124.08435867459","60.02220509045289","3.7502243198267102","2.2509673325984307"
"72.91859465","1507","25235.999999999676","0.41291209751552266","0.03907372774075","14.728407735825","11.982188854218","176.47856301258","103.260442738936","58.511606722214005","3.998744209914457","2.3397294859324544"
"81.17744055","1422","22695.000000000207","0.33749785183599906","0.030913276136862","14.730420360565","9.3026851844788","137.032463249373","73.4689508953341","53.614267125618795","4.59374807620171","2.4629043646527617"
"89.30766555","1337","19139.000000000302","0.2451776972062937","0.020804964065775","14.73373290062","6.2032914876938","91.3976398843701","41.6979621157565","45.622580811178295","5.879848433016056","2.6825386029275546"
"97.70270635","1251","13809.000000000175","0.13030477722554593","0.0085794348862278","14.736940860748","2.7841619539261","41.0300300617535","12.4065071477249","30.2376262680094","10.502938149633872","3.175839184846477"
"106.1686265","1166","5711.00000000003","0.02248538639246022","-0.0012438583703016","14.738886013031","0.39722497403622","5.85465361384904","0.74389512245004","12.706048410624602","30.22655440783642","3.840600635923461"
