"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"35.5030691","1000","0","-0.00004845180950988462","-0.000033150151890275","14.705041789628","0.026348551088857","0.387456544857791","0","0","",""
"53.6137779","1168","3956.9999999999645","0.009841486774393704","0.0012860295804891","14.704773925227","0.18293234420056","2.68997876508105","0.53289988476377","19.810561023061197","18.46779677716825","3.6585741501558644"
"72.2660338","1245","8969.000000000015","0.05391902866743486","0.0061292829643627","14.703925136726","0.82911892720467","12.19130263506","5.75681553244079","47.2206761227073","9.366120620608832","4.422745483519806"
"92.5073247","1322","12390.99999999996","0.10072021823755513","0.010936822833426","14.702698334786","1.7772312306344","26.1300946551781","14.1914297577229","54.310671067204396","7.097256580701015","3.8545676763400456"
"114.23382425","1399","14867.999999999987","0.14410884402408572","0.014631006079295","14.701953499799","2.7744290610027","40.7895270433527","22.7800860973317","55.847879954872006","6.326088646388645","3.5329863930739145"
"137.58709665","1476","16720.999999999705","0.18132863172687924","0.018094075790865","14.701036605127","3.7766593217077","55.520806933519","31.6830709560344","57.065220600939604","5.723202525995769","3.2659581468980337"
"162.58007655","1554","18363.999999999694","0.21542889003147866","0.021765325941373","14.702642243039","4.6812988752325","68.8274625952843","41.8563233436177","60.8134046575843","5.146866060425905","3.129984484510674"
"189.4337506","1631","19442.99999999957","0.24178151628875305","0.024945502445712","14.702637133035","5.3718648960477","78.9805802942781","50.7906943415849","64.307826243288","4.760350678860366","3.061278043132701"
"217.8041248","1708","20425.00000000047","0.26545452733192276","0.029276485832961","14.7002917314","6.0222772119511","88.5292319030434","62.6195047753953","70.7331391330445","4.239166826439457","2.998495769427287"
"247.5799299","1785","22133.99999999953","0.3110785731935575","0.032595482289243","14.698993080417","7.3270632575388","107.70045212234","75.5519946971337","70.1501184148342","4.117410459387376","2.888368312885012"
"278.63816945","1862","23687.000000000182","0.35380448283119115","0.037011814113351","14.69716520283","8.6575404421543","127.241302128524","91.8076879330467","72.15242723649101","3.8537565948639654","2.780578922980692"
