"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.2395433500001","1000","0","0.00036576213591148866","0.000058397311573034","11.306114063263","0.016009357634466","0.181003623494843","0","0","",""
"19.06330685","1500","18926.000000000186","0.5061803657868079","0.04425816530865","11.101651363373","11.675878238678","129.621529566997","87.7164123169242","67.6711751588973","5.7706460218408235","3.905063977239843"
"25.73903985","1484","18647.00000000004","0.4870604235242922","0.042575357702426","11.11050318718","11.168223028183","124.084577549764","83.137295817316","67.0005067986581","5.858506928040433","3.9252293326215786"
"32.3893034","1469","18336.000000000175","0.46433332260037835","0.040763965265623","11.120660552979","10.620934066772","118.111802512142","78.2725785524715","66.2699043513665","5.932260456822738","3.9313033306103615"
"39.08970575","1453","17953.000000000462","0.4448999275952747","0.039306945019675","11.131142969131","10.073805236816","112.132966334179","73.898383783446","65.9024604443385","6.020428388515539","3.967610437321176"
"45.76508385","1437","17538.99999999988","0.42422813921758196","0.03704356621398","11.141766004562","9.4625754261017","105.429801198144","68.0371692311448","64.5331476090678","6.235240883940041","4.02379720341398"
"52.440307","1421","17120.000000000236","0.4009757958292485","0.034888007571051","11.151704616547","8.8594373607636","98.7978285160364","62.5472969938413","63.3083721912865","6.410761377405812","4.058548673103313"
"59.09116515","1406","16811.999999999807","0.3824490341901567","0.033673715787481","11.159928865433","8.4184965229034","93.949822349497","59.2842105959859","63.1019932911063","6.451111187032525","4.070779748443077"
"65.77873285","1390","16283.999999999622","0.36063302514157236","0.031745114710401","11.170721549988","7.7798104715347","86.906096489195","54.1335629608941","62.2897186132672","6.661911860523431","4.149686152183927"
"72.466298","1374","15863.000000000353","0.33633416163365676","0.029639915402545","11.179934492111","7.249450507164","81.0483817738944","49.2369227220193","60.7500379950565","6.83093384069765","4.149794903640999"
"79.15283505","1358","15362.999999999685","0.3134586588000184","0.027367764173277","11.19118598938","6.6370818901062","74.2768178589242","44.0295216751221","59.2776090095142","7.119283764037149","4.220141193923767"
"85.8424695","1343","14886.000000000427","0.2936532918013695","0.026039875475277","11.200647859573","6.1556240177155","68.9469769783613","40.5924753570874","58.874916836204704","7.234180453843597","4.25911772598139"
"92.51771965","1327","14313.000000000095","0.2713567985275502","0.023776133146398","11.211244430542","5.5546818256378","62.2748956811146","35.6369488241305","57.225224441343705","7.614479002304733","4.357402699107871"
"99.19379365","1311","13721.000000000462","0.24520406379740278","0.021671970625241","11.221479949951","4.9665472412109","55.7320102877326","31.1395825112437","55.873783038646195","7.874352962467184","4.3996988899461185"
"105.8676423","1296","13250.000000000076","0.22505118460146942","0.019853043403669","11.22919708252","4.5135986852646","50.6840891882394","27.5468274278617","54.35004923449161","8.169767832278414","4.44027283918697"
"112.54261005","1280","12563.000000000136","0.20001474139160672","0.017596696593424","11.239005031586","3.9318119549751","44.1896543452151","23.1501134479944","52.3880844759336","8.63990329209099","4.526279835299598"
"119.2195217","1264","11785.999999999905","0.17444781337140616","0.015697803897001","11.248905363083","3.3584561920166","37.7789558700548","19.3746539416022","51.2842493801143","9.003918929195578","4.617592237631975"
"125.93343845","1248","10912.99999999955","0.14964397834922222","0.01321164273321","11.25770690918","2.8421397280693","31.9959760535407","15.0983536699691","47.1882890670507","9.911277853218296","4.676962443615231"
"132.63541865","1233","10096.999999999956","0.12422357746540358","0.011263157251594","11.265964155197","2.3273581051826","26.2199329892944","11.9091597743297","45.4202525200665","10.430927103116764","4.737753430419685"
"139.34788505","1217","9217.999999999965","0.10199856482401229","0.0094628150819031","11.273584833145","1.8745674741268","21.1330954450228","9.13451882490566","43.223761746918996","11.166276711358723","4.826484841719415"
"146.08559725","1201","8002.000000000025","0.07440826559863765","0.0073510187873678","11.282444009781","1.3527982974052","15.2628710470012","6.15991469212","40.3588202583305","12.07943118008168","4.875115918197907"
