"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.2363345","1000","0","-0.00011329363487583426","0.000051148604192878","11.30779214859","0.015849408539943","0.179221817447763","0","0","",""
"19.586556","1550","19033.00000000015","0.5166109061965606","0.046063105062667","11.107731571198","11.372344398499","126.320948913744","91.8098072257731","72.679795406274","5.626968641009591","4.089669295860962"
"26.28662355","1532","18799.999999999967","0.4959037931115213","0.044461852069485","11.116199798584","10.914054088593","121.322805861352","87.5334441046004","72.1492084551964","5.665306537223966","4.087473823167586"
"32.9867183","1514","18444.999999999767","0.4761597361730663","0.042510812354535","11.12726811409","10.367053117752","115.356979594239","82.1120097022524","71.1807902660733","5.798904909277909","4.127706341202134"
"39.68700505","1496","18108.99999999982","0.4612752800770906","0.04101436060041","11.135084037781","9.9172584152222","110.42950587789","77.7784048763903","70.43262962925469","5.930634355515196","4.177101730285347"
"46.3873092","1478","17706.99999999985","0.44441734923945486","0.038910790705983","11.143108234406","9.4337240791321","105.121008467291","72.151217093418","68.6363441003976","6.15952671545436","4.227673951375169"
"53.0872236","1460","17395.999999999985","0.4234205822115809","0.037877971731625","11.152723388672","8.8951230716705","99.2048471265355","69.0024851927772","69.5555582125586","6.13630916377346","4.268144092511011"
"59.7886644","1442","16952.000000000266","0.4000494758808258","0.035541363152193","11.16288819313","8.3193598461151","92.8680838005981","63.0933580039783","67.9386883220821","6.340595722541837","4.307717565700969"
"66.51520655","1424","16567.99999999978","0.3772982988896004","0.033786411745415","11.172176265717","7.7716156578064","86.8258599984193","58.6193197357808","67.5136644046462","6.436415512670994","4.345459968913289"
"73.21432965","1406","16149.99999999995","0.3594010832120755","0.032416593571954","11.179611139297","7.3309934806824","81.9576563787506","54.8237225117971","66.8927406347985","6.555576067180384","4.385204495735905"
"79.91508205","1388","15621.999999999764","0.3315382007178904","0.029908580058981","11.191988658905","6.6524136209488","74.4537378000041","48.9284036261042","65.7165174937685","6.7759864648641175","4.452942330557805"
"86.6148435","1370","15191.000000000462","0.3122372413391321","0.02807773480591","11.201668071747","6.1631281614304","69.0373159479797","44.6659987588652","64.69834196990149","6.990490530051333","4.522731468506188"
"93.33133325","1352","14654.999999999867","0.28722811307956336","0.026131578412798","11.212067899704","5.6141811561584","62.9465803240867","40.1032974743395","63.710049486189305","7.162206879954176","4.5630455475220595"
"100.04135115","1334","14141.999999999729","0.2645649714665253","0.02417366225495","11.220985431671","5.0679895210266","56.8678365833008","35.7999072023906","62.952820703756494","7.3901021578306985","4.652277761243596"
"106.7417365","1316","13435.999999999536","0.23622190775259647","0.021654321396067","11.231270942688","4.4363585758209","49.825945163962","30.4679470023911","61.1487587483396","7.753128483978853","4.740941832117023"
"113.4174591","1298","12837.000000000264","0.21231587506581756","0.019809416145355","11.240979366302","3.8851103878021","43.672445705089","26.6295504365935","60.975633506805","7.972942523808437","4.861552213025641"
"120.17288945","1280","12121.000000000038","0.18743895664086105","0.017969870975313","11.249787864685","3.331114718914","37.4743339407123","22.809303715856","60.8664686394223","8.217653593281835","5.001795547251243"
"126.94613635","1262","11266.000000000124","0.16011165974436734","0.015674147084072","11.259334287643","2.7666540646553","31.1506829722203","18.4919317844873","59.3628454341695","8.658460436171609","5.1399084857032635"
"133.6921281","1244","10426.00000000026","0.13478935483986887","0.013636062066922","11.268203430176","2.2626638793945","25.4961568871284","14.8879639287153","58.392972692411405","9.053578816099412","5.286653805770871"
"140.4516902","1226","9414.00000000003","0.10699421688534821","0.011375866326419","11.276547737122","1.7520612251759","19.7572020440565","11.2146904892836","56.7625439284165","9.540541220249352","5.415453901152718"
"147.22027235","1208","8347","0.08201724464445656","0.0093641684580645","11.284142065048","1.2919414520264","14.5784508843903","8.18518028207828","56.1457479055094","10.020212361606248","5.625923172144137"
