"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"21.3331644","1000","0","-0.00043509168981549257","0.00003359362394667","14.741427802289","0.018323834501631","0.270119483366886","0","0","",""
"38.5060508","1171","5615.000000000005","0.027287556568560113","0.0035303482975459","14.740896199799","0.48759185063075","7.18754085801578","2.07584982969233","28.8812247568273","13.145245950958076","3.796508027933943"
"56.0178006","1199","8046.99999999998","0.06073051677620595","0.0068721959191586","14.739975429839","1.0183072284091","15.0098235267776","5.79106115997696","38.5818071054978","10.486941011075038","4.046051352160299"
"74.05013435","1227","10179.999999999653","0.1030715344035629","0.010845853147891","14.739214840557","1.7382507514279","25.6204512720555","11.5621903725369","45.128753782522004","8.914533585987591","4.023017912880567"
"93.0513108","1254","12121.000000000038","0.15341550705245932","0.015762882719112","14.738038309457","2.7062178713265","39.8843426613471","20.0079555313213","50.164937407158305","7.66772531117914","3.846509602905855"
"112.4642936","1282","13617.999999999745","0.19925612472897472","0.019897833159871","14.736874829335","3.6799154218271","54.2304529540055","28.37577506831","52.3244293983242","7.02205047260554","3.6742478418531714"
"132.1385884","1310","15071.999999999887","0.25223158889856373","0.024776091465707","14.735771874004","4.9018274379267","72.2322108910214","39.1050007953066","54.1378981937925","6.450110823903535","3.4919544312316853"
"152.50223075","1338","16144.000000000122","0.2925108112741558","0.028772386897251","14.735229785063","5.9136584078959","87.1391155107159","48.6424743340648","55.821629642411295","6.013485442069872","3.3568255720725637"
"173.4768665","1365","17201.00000000031","0.3374318675552202","0.032993844788254","14.733845852051","7.0522533591424","103.906813903213","59.4313014702785","57.1967316076475","5.677679256678724","3.247446965985612"
"194.8500831","1393","18081.000000000302","0.3776493606659257","0.036511863225849","14.732515627863","8.143052605093","119.967649763043","69.1329453509765","57.6263230025145","5.462654003075699","3.14792664032219"
"216.77347905","1421","18941.000000000233","0.4185366741503776","0.04264624766727","14.730971379293","9.2704323656847","136.562473852573","84.5886992651528","61.9413934727569","4.947902944321528","3.0648000313923207"
