"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.4409116","1000","0","-0.00006635176457437658","-0.00002602853109935","14.743619403839","0.0080882068368373","0.119249443261858","0","0","",""
"21.42628255","1858","27304.999999999905","1.010588770429015","0.10216448692593","14.715861272812","29.492895469666","434.01335826515","292.126366641951","67.30815102319569","3.459423338077723","2.3284738849250357"
"29.1002601","1782","25431.00000000031","0.8775489455500606","0.087779782054702","14.720210294724","24.262976169586","357.156111592183","233.768803538848","65.4528358752478","3.7539181116792077","2.457045860528591"
"36.9470108","1706","23718.00000000009","0.7321895566705042","0.073814802140649","14.722991933823","19.618774356842","288.847056607278","183.337009327765","63.4720019241993","3.99368114138656","2.534869370907252"
"45.04312105","1630","22625.999999999793","0.673058502656422","0.067481289146973","14.726099624634","17.511610240936","257.877716995785","159.889436312576","62.0020365370265","4.209524520060378","2.609990930962929"
"53.180847","1554","21430.99999999973","0.5956254568088185","0.059721431605089","14.72925901413","15.091156082153","222.281546756695","134.029767456405","60.29729836418291","4.443978887022643","2.6795992087493388"
"61.29506435","1477","19725.00000000011","0.4920431175891768","0.049021654651923","14.73246588707","11.942480802536","175.94219103035","101.258991104753","57.552421344625806","4.859253605244329","2.7966181090941356"
"69.4692278","1401","17621.999999999578","0.38550518193939826","0.038905665629547","14.735133428574","8.7886567974091","129.502030567767","71.7954075029892","55.4395998180271","5.369496397431101","2.976827314979183"
"77.7913046","1325","15000.000000000035","0.2704714728934448","0.027606425246643","14.738030662537","5.6281285190582","82.9475306865787","43.3640713733648","52.278917786254596","6.237225065070213","3.260753763911724"
"86.0050219","1249","11195.000000000084","0.14059708214545233","0.014344072083396","14.740862445831","2.5189204192162","37.131059411661","16.8160958805303","45.288489332058305","8.360863493186654","3.7865087711797916"
"94.16226055","1173","5881.000000000009","0.03370816791119904","0.0029615846889753","14.742881546021","0.55583325982094","8.19458390887883","1.82391230598969","22.257534077032002","18.481243753058795","4.113469126196418"
