"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"37.610374700001","1000","0","-0.00003668044394068413","-0.00011381147703864","14.703832608127","0.026358252661716","0.38756733498059","0","0","",""
"55.894859800001","1169","3423.0000000000446","0.009829503595997309","0.0013315970691995","14.703378461222","0.17076595494403","2.51083646383406","0.477318588552849","19.0103415904667","20.593171587552735","3.91483226310471"
"75.117213150001","1248","7932.999999999991","0.06117703668714291","0.0079262370402062","14.702822837086","0.9001461381617","13.2346891968786","6.58465656364081","49.7530124484812","9.29084700103428","4.622476264993928"
"95.663226850001","1327","10731.000000000296","0.11888791983015606","0.01477730485062","14.701697442759","2.0275959418216","29.8091020728271","16.605962222659","55.707690161510705","7.159351456787742","3.988309327120924"
"117.92958695","1405","12944.000000000231","0.1793611849672824","0.022292393751876","14.700566720546","3.2881008557816","48.3369460143018","30.2171727666331","62.5136158947497","5.935736819340662","3.710643715765853"
"141.7710436","1484","14596.00000000044","0.23427285464837638","0.028061568086889","14.70001975277","4.5611213694817","67.0485742261623","42.891813457505","63.97125360611871","5.461947998083168","3.4940766056881096"
"167.1946862","1563","15779.999999999704","0.2811328419975629","0.033290390210377","14.698708356556","5.9216460323042","87.0405480195964","55.0116286383494","63.202300410567304","5.110425721909653","3.229906617020247"
"194.41622215","1642","17107.999999999625","0.3398721607100284","0.039877588461629","14.696982445174","7.246490210553","106.501539413623","71.4425169741267","67.08120593136559","4.7572814495479605","3.1912417659059216"
"223.02884295","1720","18601.999999999894","0.41040217613106417","0.048396556394663","14.695016677939","9.135084711254","134.240222186263","94.2763410887488","70.22957765813071","4.353183114570858","3.057222116048172"
"253.0432722","1799","20651.000000000062","0.5080944174671983","0.05905603776096","14.692171519821","12.140202732495","178.365940831216","127.712677565348","71.60149351954999","3.97841801732814","2.848606718857816"
"284.8265964","1878","21516.000000000004","0.5585968145200043","0.060619601090567","14.690790281642","13.756247412718","202.09014580262","136.585069422103","67.58620955002131","4.089735553698889","2.7640972413646563"
