name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,94.4,24.368712349991,1944,19552.9999999999,1.02350512886653,0.13727892048258,13.994646949768,38.176243858337,534.263054665675,281.090309444135,52.6127170855998,3.64119677725834,1.91573255894891
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,98.5,19.70024389999,1985,20107,1.08494998324076,0.14527135948147,13.93530257225,41.067851066589,572.292930605018,305.883391403408,53.448745396878,3.5469398265233,1.8957948372589
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,0,1.1901155499999,1000,0,0.000472355180292,,10.718440798452,-0.050285122818579,0.538978111973827,,,,
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,24.8333333333333,77.5502579,1149,3159.99999999995,0.009221253282528,,10.713593264374,0.084799491906907,0.908507265316176,,,,10.1498949260669
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,30.5,72.72468055,1183,3982.00000000005,0.014127088491475,,10.711833304723,0.14630707967265,1.56721704875425,,,,9.01412379523562
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,36.3333333333333,67.9071161,1218,4800.00000000003,0.020526840600298,,10.709753029722,0.22451785231484,2.40453074905553,,,,8.53673449938639
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,42.1666666666667,63.10310155,1253,5635.99999999998,0.028095794959079,,10.706836687908,0.32116047712176,3.4386127791533,,,,8.1706771781372
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,48,58.29034285,1288,6480.99999999995,0.036774192054464,,10.702861850892,0.43520189715697,4.65790578251716,,,,7.89500556075891
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,53.6666666666667,53.49740455,1322,7286.99999999999,0.047229774371502,,10.698689263826,0.5722056007475,6.12184991741838,,,,7.71495136414893
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,59.5,48.72591795,1357,8095.00000000004,0.057920661571301,,10.694287665613,0.72466316266335,7.74975632219477,,,,7.47386874673986
