,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€)
74,74,74,74,74,4000,11.1,3S1P,25,27.0,136.0,42.0,333.0,18.0
75,75,75,75,75,4000,11.1,3S1P,25,25.0,136.0,42.0,328.0,18.0
76,76,76,76,76,4000,14.8,4S1P,25,34.0,137.0,42.0,422.0,27.0
78,78,78,78,78,4200,7.4,2S2P,60,25.0,95.0,46.0,228.0,10.0
79,79,79,79,79,4400,14.8,4S1P,25,32.0,147.0,50.0,497.0,27.0
81,81,81,81,81,4600,7.4,2S2P,60,25.0,95.0,46.5,224.0,10.0
82,82,82,82,82,4800,7.4,2S3P,25,25.0,69.0,47.0,280.0,10.0
83,83,83,83,83,5000,7.4,2S1P,25,23.0,132.0,42.0,282.0,10.0
84,84,84,84,84,5000,7.4,2S1P,50,25.0,139.0,47.0,304.0,10.0
85,85,85,85,85,5000,7.4,2S1P,50,24.0,138.0,47.0,294.0,10.0
86,86,86,86,86,5000,7.4,2S1P,50,21.3,136.5,43.3,266.0,10.0
87,87,87,87,87,5000,11.1,3S1P,25,26.0,151.0,46.0,399.0,18.0
88,88,88,88,88,5000,11.1,3S1P,45,23.0,154.0,46.0,373.0,18.0
89,89,89,89,89,5000,11.1,3S1P,50,24.0,155.3,46.3,380.0,18.0
90,90,90,90,90,5000,14.8,4S1P,45,30.0,154.0,46.0,480.0,27.0
91,91,91,91,91,5000,14.8,4S1P,50,50.0,138.0,46.0,571.0,27.0
96,96,96,96,96,5100,7.4,2S3P,35,25.0,70.0,47.0,317.0,10.0
97,97,97,97,97,5100,11.1,3S1P,10,26.0,137.0,42.0,334.0,18.0
98,98,98,98,98,5300,7.4,2S1P,65,26.0,139.0,47.0,326.0,10.0
99,99,99,99,99,5300,11.1,3S1P,30,32.0,137.0,42.0,408.0,18.0
100,100,100,100,100,5300,11.1,3S1P,35,34.1,138.0,44.0,429.0,18.0
101,101,101,101,101,5500,11.1,3S1P,45,32.0,133.5,42.0,397.0,18.0
102,102,102,102,102,5500,14.8,4S1P,45,42.0,135.5,42.0,526.0,27.0
106,106,106,106,106,5700,7.4,2S3P,50,25.0,70.0,47.0,316.0,10.0
107,107,107,107,107,5700,7.4,2S3P,50,25.0,70.0,47.0,316.0,10.0
108,108,108,108,108,6000,7.4,2S1P,70,26.0,138.0,46.0,336.0,10.0
109,109,109,109,109,6000,7.4,2S1P,70,25.1,138.1,46.32,330.9,10.0
111,111,111,111,111,6200,14.8,4S1P,25,41.0,146.0,46.0,585.0,27.0
114,114,114,114,114,6500,7.4,2S1P,50,26.0,139.0,47.0,330.0,10.0
115,115,115,115,115,6600,14.8,4S2P,35,29.0,136.0,85.0,713.0,27.0
116,116,116,116,116,6750,14.8,4S1P,25,45.0,137.0,42.0,600.0,27.0
117,117,117,117,117,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,5.0
118,118,118,118,118,7000,7.4,2S2P,50,25.0,138.5,46.5,316.0,10.0
121,121,121,121,121,7200,7.4,2S1P,70,25.0,138.0,47.0,315.0,10.0
122,122,122,122,122,7200,7.4,2S1P,70,26.0,139.0,47.0,345.0,10.0
123,123,123,123,123,7200,7.4,2S1P,70,25.07,138.35,46.54,359.3,10.0
124,124,124,124,124,7200,14.8,4S1P,70,49.0,138.5,46.5,617.0,27.0
125,125,125,125,125,7600,7.4,2S2P,50,29.0,153.0,47.0,391.0,10.0
126,126,126,126,126,8000,14.8,4S1P,15,41.0,161.0,47.0,650.0,27.0
130,130,130,130,130,10000,14.8,4S1P,25,39.0,169.0,65.0,940.0,27.0
140,140,140,140,140,16000,14.8,4S1P,15,44.0,180.0,74.0,1241.0,27.0
144,144,144,144,144,22000,14.8,4S1P,25,43.0,204.0,90.0,1711.0,27.0
