,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
43,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,168.0,,10443.381715420966,0.025663335545330353,4.29993314217683,0.19424344936104976,0.776973797444199,5713.351692084433,0.008408242792240825,1.4088146012992349,0.5211938069752045,3.194174730904987
44,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,,KingKong 6040,6.0,4.0,3.38,Plastic,,161.52,,10387.400562747041,0.02669200824791956,4.472288907798521,0.22541605984530283,0.9016642393812113,,,,,
45,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,175.12,,10002.289472270366,0.03376855539487996,5.657975762714393,0.25350286092383834,1.0140114436953533,,,,,
46,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,162.8,,10769.224619889013,0.019675861455407197,3.2967222294057508,0.17098883847365315,0.6839553538946126,,,,,
216,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,180.88,,18133.683603959435,0.035518233536874874,9.670597867487501,0.40551197735705563,1.6220479094282225,6706.645623107336,0.005640103970740245,1.5356387976489312,0.3577090801225766,2.930376600857908
217,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Gemfan 5040 R,5.0,4.0,3.0,ABS,,184.0,,18010.796148210244,0.039463529265721685,10.744788914246143,0.3786786908287375,1.51471476331495,6908.242357001199,0.006703321246301067,1.8251224144426867,0.3699083347824034,2.465588041870663
218,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,6045 plastic,6.0,4.5,6.0,Plastic,,196.0,,16565.299125425838,0.08587114015888005,23.380252400123776,0.6544713023110544,2.6178852092442177,,,,,
219,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,192.8,,17116.567314993346,0.06817270201890228,18.561474519288954,0.5184366692802488,2.073746677120995,5555.01095830011,0.00850074061325594,2.314508230199247,0.302483924107843,1.9442575063181404
220,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,,180.72,,18619.50573217879,0.01992093798088999,5.423900942493097,0.2543941585259915,1.017576634103966,8824.668598619714,0.005005076944622006,1.362739123348863,0.46676538224172925,3.3021727511142966
221,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,DALPROP 6040,6.0,4.0,4.32,Nylon,,189.28,,17140.10945844708,0.0674168826600452,18.355686552036,0.5779595872215839,2.3118383488863357,5250.183941624597,0.007553815694104623,2.056687697233557,0.28510753711996434,2.187984109620986
