,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf)
2172,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,189.48,18687.949272227474,0.03755270640559406,6.881892883030024,0.4291269975252896,1.7165079901011584
2173,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Gemfan 5040 R,5.0,4.0,3.0,ABS,192.6,18602.697458933464,0.04189628303409851,7.677894874570815,0.4024127478796967,1.6096509915187869
2174,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,6045 plastic,6.0,4.5,6.0,Plastic,204.6,17549.654629706147,0.09554880745714954,17.510227547094775,0.7294925758342178,2.917970303336871
2175,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,201.4,17962.123961834954,0.0745334782247796,13.658973278851972,0.5676293243727345,2.270517297490938
2176,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,189.32,19018.37358370806,0.02071760036642005,3.796698564817342,0.26473597371705876,1.058943894868235
2177,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,DALPROP 6040,6.0,4.0,4.32,Nylon,197.88,17979.441633956438,0.07365114349217325,13.497276993870786,0.6323116412502494,2.5292465650009976
2178,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,201.51999999999998,18687.949272227474,0.03755270640559406,6.881892883030024,0.4291269975252896,1.7165079901011584
2179,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,200.6,18040.276653911398,0.07055160168067416,12.929256265999978,0.5428279722164645,2.171311888865858
2180,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,KingKong 6040,6.0,4.0,3.38,Plastic,194.12,17979.441633956438,0.07365114349217325,13.497276993870786,0.6323116412502494,2.5292465650009976
2181,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,207.72,17549.654629706147,0.09554880745714954,17.510227547094775,0.7294925758342178,2.917970303336871
2182,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,195.4,18386.14264407549,0.05292976848211458,9.699881941404653,0.46741581099797685,1.8696632439919074
2183,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,187.0,19130.25063202165,0.015017470703939545,2.7520949391068936,0.15204818405981407,0.6081927362392563
2184,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,188.68,20630.52485756426,0.04509160197118113,9.207852438717065,0.5168080420625036,2.0672321682500145
2185,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Gemfan 5040 R,5.0,4.0,3.0,ABS,191.8,20515.330074557907,0.05021174081691429,10.253414344834065,0.48370056121945715,1.9348022448778286
2186,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,6045 plastic,6.0,4.5,6.0,Plastic,203.8,19124.82749422001,0.11201701118547011,22.87426826212831,0.8574312480839209,3.4297249923356836
2187,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,200.60000000000002,19662.67536254014,0.08811066725721967,17.99250862228144,0.6728534328458563,2.691413731383425
2188,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,188.52,21081.080885199313,0.0250651626606721,5.118394506927043,0.3212814272298232,1.285125708919293
2189,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,DALPROP 6040,6.0,4.0,4.32,Nylon,197.08,19685.441028214405,0.08709877548368836,17.78587675775444,0.7497989040891708,2.9991956163566833
2190,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,200.72000000000003,20630.52485756426,0.04509160197118113,9.207852438717065,0.5168080420625036,2.0672321682500145
2191,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,199.8,19765.53544668047,0.08353872659029894,17.05890223117338,0.6445151838745895,2.578060735498358
2192,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,KingKong 6040,6.0,4.0,3.38,Plastic,193.32000000000002,19685.441028214405,0.08709877548368836,17.78587675775444,0.7497989040891708,2.9991956163566833
2193,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,206.92000000000002,19124.82749422001,0.11201701118547011,22.87426826212831,0.8574312480839209,3.4297249923356836
2194,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,194.60000000000002,20224.582441657036,0.0631349358649152,12.892376295375223,0.559132328870518,2.236529315482072
2195,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,186.20000000000002,21235.161538796576,0.01821656231371467,3.7198861919977615,0.18501667289547752,0.7400666915819101
2196,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,188.68,26286.144589879183,0.0705906119430815,18.850190570689218,0.8149603887263906,3.2598415549055626
2197,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Gemfan 5040 R,5.0,4.0,3.0,ABS,191.8,26068.215201551324,0.07821065724086479,20.885012123703778,0.7588540113864821,3.0354160455459285
2198,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,6045 plastic,6.0,4.5,6.0,Plastic,203.8,23584.038569580676,0.1650715324429981,44.079938659377184,1.271505164991793,5.086020659967172
2199,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,200.60000000000002,24515.286811014194,0.13250982301919945,35.384810354676056,1.0186239599096996,4.074495839638798
2200,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,188.52,27159.53184193784,0.04005205825929959,10.695314267620244,0.5172981220710458,2.069192488284183
2201,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,DALPROP 6040,6.0,4.0,4.32,Nylon,197.08,24555.475220165765,0.13110460876721455,35.00956843916184,1.1361372698859018,4.544549079543607
2202,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,200.72000000000003,26286.144589879183,0.0705906119430815,18.850190570689218,0.8149603887263906,3.2598415549055626
2203,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,199.8,24697.38922427741,0.1261424919443813,33.68450770982811,0.9797358105534445,3.918943242213778
2204,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,KingKong 6040,6.0,4.0,3.38,Plastic,193.32000000000002,24555.475220165765,0.13110460876721455,35.00956843916184,1.1361372698859018,4.544549079543607
2205,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,206.92000000000002,23584.038569580676,0.1650715324429981,44.079938659377184,1.271505164991793,5.086020659967172
2206,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,194.60000000000002,25527.169486858493,0.09712867737427636,25.936792839789934,0.8662156540908224,3.4648626163632894
2207,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,2550,33.7,,0.042,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,186.20000000000002,27466.39953932942,0.029322218618083987,7.830069660789745,0.30011911386848505,1.2004764554739402
2208,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,178.88,19527.65965978783,0.04073381256868906,7.891424521834453,0.46609271335037655,1.8643708534015062
2209,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Gemfan 5040 R,5.0,4.0,3.0,ABS,182.0,19413.793857814973,0.045338203005364994,8.783440205131404,0.43603020266376047,1.7441208106550419
2210,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,6045 plastic,6.0,4.5,6.0,Plastic,194.0,18046.778013374253,0.10061621079973913,19.492534168630986,0.7688247370501425,3.07529894820057
2211,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,190.8,18573.968639667462,0.07929820803636982,15.362564514943497,0.6045235425109234,2.4180941700436938
2212,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,178.72,19974.01555682826,0.022684523485857942,4.394707741259227,0.29029659222588905,1.1611863689035562
2213,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,DALPROP 6040,6.0,4.0,4.32,Nylon,187.28,18596.32550479475,0.07839416367595521,15.18742260246963,0.6737130239365124,2.69485209574605
2214,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,190.92000000000002,19527.65965978783,0.04073381256868906,7.891424521834453,0.46609271335037655,1.8643708534015062
2215,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,190.0,18675.00968650953,0.07521241210532759,14.571016948613156,0.5792891399558304,2.3171565598233217
2216,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,KingKong 6040,6.0,4.0,3.38,Plastic,183.52,18596.32550479475,0.07839416367595521,15.18742260246963,0.6737130239365124,2.69485209574605
2217,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,197.12,18046.778013374253,0.10061621079973913,19.492534168630986,0.7688247370501425,3.07529894820057
2218,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,184.8,19126.835210332338,0.05694194733408967,11.031451544595363,0.5034427395624953,2.013770958249981
2219,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,176.4,20127.03119188876,0.016497036991718,3.1959953631902875,0.1672831777926016,0.6691327111704064
2220,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,71.68,22759.488364838744,0.05407578232983119,39.63961878438763,0.6216063363813741,2.4864253455254963
2221,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Gemfan 5040 R,5.0,4.0,3.0,ABS,74.8,21597.18506415758,0.05521979170652272,40.478221454431754,0.5327649388030256,2.1310597552121022
2222,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,6045 plastic,6.0,4.5,6.0,Plastic,86.8,13977.96323881085,0.06271909174042502,45.97549549869346,0.47558755062899544,1.9023502025159817
2223,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,83.6,16069.706257738273,0.060660271448895846,44.46630140134323,0.46043390004330975,1.841735600173239
2224,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,71.52000000000001,29696.764867766367,0.047247694222000716,34.634368782275345,0.611871464909902,2.447485859639608
2225,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,DALPROP 6040,6.0,4.0,4.32,Nylon,80.08,16174.229275649801,0.06055739355794036,44.39088796850663,0.5182511564308806,2.0730046257235224
2226,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,83.72,22759.488364838744,0.05407578232983119,39.63961878438763,0.6216063363813741,2.4864253455254963
2227,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,82.8,16554.911886242546,0.06018270265364251,44.116225190301186,0.4618570080620114,1.8474280322480456
2228,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,KingKong 6040,6.0,4.0,3.38,Plastic,76.32,16174.229275649801,0.06055739355794036,44.39088796850663,0.5182511564308806,2.0730046257235224
2229,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,89.92,13977.96323881085,0.06271909174042502,45.97549549869346,0.47558755062899544,1.9023502025159817
2230,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,77.6,19235.87327192929,0.05754393792407824,42.18190961621263,0.5088519102698644,2.0354076410794577
2231,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,69.2,33849.481071134396,0.04316033917547115,31.638181045357577,0.4445331832431371,1.7781327329725485
2232,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,62.04,14119.236029291329,0.022356453600670966,58.52905866015749,0.25333488368168433,1.0133395347267373
2233,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Gemfan 5040 R,5.0,4.0,3.0,ABS,65.16,13270.478222398673,0.022428498401630036,58.71767150613363,0.21325329644513166,0.8530131857805267
2234,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,6045 plastic,6.0,4.5,6.0,Plastic,77.16,8101.891130447396,0.022867221699305555,59.86624641545614,0.1705840395847644,0.6823361583390576
2235,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,73.96000000000001,9458.03838362957,0.02275210834522317,59.56488035919343,0.16997239089391905,0.6798895635756762
2236,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,61.88,19593.62178009835,0.021891773305933487,57.312528493311476,0.2799901097240791,1.1199604388963165
2237,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,DALPROP 6040,6.0,4.0,4.32,Nylon,70.44,9526.970550063723,0.02274625720120928,59.54956209998584,0.1915962425630392,0.7663849702521568
2238,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,74.08,14119.236029291329,0.022356453600670966,58.52905866015749,0.25333488368168433,1.0133395347267373
2239,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,73.16,9778.995248769474,0.022724864680381745,59.49355661138457,0.17166358482522007,0.6866543393008803
2240,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,KingKong 6040,6.0,4.0,3.38,Plastic,66.68,9526.970550063723,0.02274625720120928,59.54956209998584,0.1915962425630392,0.7663849702521568
2241,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,80.28,8101.891130447396,0.022867221699305555,59.86624641545614,0.1705840395847644,0.6823361583390576
2242,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,67.96000000000001,11598.55241984702,0.022570415870774515,59.08921057336733,0.19658036999641595,0.7863214799856638
2243,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0802,1.0,10.6,14.7,,25000,2.04,,0.18,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,59.56,23271.620772744434,0.021579575062295853,56.49519538383457,0.21977610060775205,0.8791044024310082
2244,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,63.760000000000005,18407.129356543508,0.036515429627911204,84.12551067192865,0.4170842050484677,1.6683368201938709
2245,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Gemfan 5040 R,5.0,4.0,3.0,ABS,66.88,17315.627540038353,0.03669194830033761,84.53218049924055,0.3516680210955746,1.4066720843822984
2246,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,6045 plastic,6.0,4.5,6.0,Plastic,78.88,10627.006619630007,0.03777363819528835,87.02421511936289,0.2840851582679453,1.1363406330717811
2247,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,75.68,12388.90256428098,0.037488702771133676,86.36777102672094,0.28234109968285204,1.1293643987314081
2248,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,63.6,25400.072056551577,0.03538452453632697,81.52009237833398,0.4560964790913835,1.824385916365534
2249,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,DALPROP 6040,6.0,4.0,4.32,Nylon,72.16,12478.327773503566,0.03747424084443186,86.33445313952922,0.31821887264996535,1.2728754905998614
2250,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,75.80000000000001,18407.129356543508,0.036515429627911204,84.12551067192865,0.4170842050484677,1.6683368201938709
2251,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,74.88,12805.169622084393,0.03742138368163787,86.21267897835901,0.2849767613644872,1.1399070454579487
2252,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,KingKong 6040,6.0,4.0,3.38,Plastic,68.4,12478.327773503566,0.03747424084443186,86.33445313952922,0.31821887264996535,1.2728754905998614
2253,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,82.0,10627.006619630007,0.03777363819528835,87.02421511936289,0.2840851582679453,1.1363406330717811
2254,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,69.68,15159.844280253972,0.03704058354152949,85.33537843507676,0.3252124292020865,1.300849716808346
2255,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR F0803,1.0,10.6,15.7,,22000,2.47,,0.122,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,61.28,30052.029141036623,0.03463220578041654,79.78687438858546,0.35542595864900356,1.4217038345960142
2256,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,194.28,18712.702986968183,0.03764476419031064,6.898760416773109,0.4301962381456444,1.7207849525825776
2257,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,Gemfan 5040 R,5.0,4.0,3.0,ABS,197.4,18630.09599428531,0.04201051045670548,7.6988281425151355,0.4035277157113113,1.6141108628452452
2259,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,206.20000000000002,18008.035083011186,0.07488629951489274,13.723631157276648,0.5703600054578983,2.2814400218315933
2260,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,194.12,19032.45379164393,0.02074598501341254,3.801900323061214,0.26510456745156996,1.0604182698062798
2261,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,DALPROP 6040,6.0,4.0,4.32,Nylon,202.68,18024.88310605691,0.07399588502055116,13.56045417862558,0.6353194336931676,2.5412777347726703
2262,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,206.32,18712.702986968183,0.03764476419031064,6.898760416773109,0.4301962381456444,1.7207849525825776
2263,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,205.4,18084.055005161186,0.07086866252826547,12.987360724831094,0.5453071045024361,2.1812284180097445
