,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf)
28,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,156.72,14087.723116782761,0.011891159456025745,2.4904786126476854,0.15058708758536163,0.6023483503414465
29,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,DALPROP 6040,6.0,4.0,4.32,Nylon,165.28,12536.055223632267,0.03779559462020985,7.915890826460612,0.3209921463165521,1.2839685852662084
30,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,168.92000000000002,13557.713467356529,0.020739445007696096,4.343659205047105,0.23472560692592195,0.9389024277036878
31,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,168.0,12618.535376880545,0.03641862356114265,7.627498682235858,0.2772182648353922,1.1088730593415688
32,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,KingKong 6040,6.0,4.0,3.38,Plastic,161.52,12536.055223632267,0.03779559462020985,7.915890826460612,0.3209921463165521,1.2839685852662084
33,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,175.12,11977.062387667225,0.04712774213735599,9.87041123193278,0.3557087456409131,1.4228349825636524
34,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,162.8,13105.296042575856,0.02829236138826404,5.9255383126718355,0.24732104630622898,0.9892841852249159
35,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,154.4,14276.53193806566,0.008739077664418475,1.8303079088613368,0.08770757690622805,0.3508303076249122
36,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,156.88,11064.96012775956,0.014241621008356362,2.3862065032033284,0.16020485259248587,0.6408194103699435
37,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Gemfan 5040 R,5.0,4.0,3.0,ABS,160.0,10980.275770845574,0.015797724842311844,2.6469342030616585,0.14935573391156134,0.5974229356462454
38,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,6045 plastic,6.0,4.5,6.0,Plastic,172.0,10002.289472270366,0.03376855539487997,5.657975762714394,0.25350286092383834,1.0140114436953533
39,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,168.8,10371.534185601628,0.026983558319308022,4.521138591127991,0.2021423050304606,0.8085692201218424
40,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,156.72,11402.400827344105,0.008041033492628155,1.347288093152384,0.10118591587704265,0.4047436635081706
41,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,165.28,10387.40056274704,0.026692008247919553,4.47228890779852,0.22541605984530277,0.9016642393812111
42,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,168.92000000000002,11064.96012775956,0.014241621008356362,2.3862065032033284,0.16020485259248587,0.6408194103699435
43,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,168.0,10443.381715420854,0.02566333554533114,4.29993314217718,0.19424344936104573,0.7769737974441829
44,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,161.52,10387.40056274704,0.026692008247919553,4.47228890779852,0.22541605984530277,0.9016642393812111
45,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,175.12,10002.289472270366,0.03376855539487997,5.657975762714394,0.25350286092383834,1.0140114436953533
46,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,162.8,10769.224619889013,0.019675861455407197,3.2967222294057508,0.17098883847365315,0.6839553538946126
47,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,154.4,11520.199427345491,0.005876444189684136,0.9846076744289125,0.05859913318926389,0.23439653275705555
48,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,156.88,,,,,
49,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 5040 R,5.0,4.0,3.0,ABS,160.0,,,,,
