,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
115864,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,,176.92000000000002,,15003.830695132629,0.013361114810635564,11.193381368763324,0.16952239028593158,0.6780895611437263,8824.668405775354,0.005005059349499906,4.193014145063579,0.4828499611803465,25.04165174916382
68725,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Gemfan 5040 R,5.0,4.0,3.0,ABS,,195.0,,14882.704139452095,0.027728185863620556,8.71106650065227,0.2645518906009028,1.0582075624036111,6908.242338993033,0.006703319073783595,2.105909123325898,0.39086513525165667,24.929850684670505
68736,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,17.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,191.88,104.0,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181
68742,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,17.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,203.92000000000002,,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181
116062,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,13.0,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,196.2,,11746.737528406291,0.023106783247099194,14.518420099435708,0.2013286037501427,0.8053144150005708,6305.085110681854,0.007308373489209923,4.591985640405779,0.43294210683666595,22.86592516232727
68734,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,197.8,,13888.003323185532,0.0314975085256769,9.895234139064844,0.27581880322102087,1.1032752128840835,6305.085121050591,0.007308374859846544,2.295993674414104,0.37088827961974913,22.865916655191594
68836,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,13.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,,184.52,,19498.231054013868,0.02169500988805838,10.223532552582322,0.2774329345306736,1.1097317381226943,8824.667951471298,0.005004987351103426,2.3585028243402655,0.3606200229528678,22.259884303800067
68644,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,14.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,,188.92000000000002,,21984.09254930529,0.027087536850590205,12.764701016012078,0.3476410702794816,1.3905642811179264,8824.66859852146,0.005005076944517906,2.3585869442081173,0.32779447220906766,22.259090396867514
115860,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,177.07999999999998,,11873.542349734882,0.016226533887359115,13.593909241000858,0.1829198838792739,0.7316795355170956,6706.645335696005,0.005640055621820339,4.724961819518598,0.4347295793360903,22.222401790899106
115866,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,189.12,,11873.542349734882,0.016226533887359115,13.593909241000858,0.1829198838792739,0.7316795355170956,6706.645335696005,0.005640055621820339,4.724961819518598,0.4347295793360903,22.222401790899106
