"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.6082384499994","1172","3547.999999999973","0.01837144164092937","0.0030636636359254","14.700997324421","0.2717853593644","3.99551584083284","1.1382910231056","28.489213119183397","16.139494442121215","4.598014967974681"
"19.702754249999","1247","6993.999999999995","0.07477025072129219","0.010948245001615","14.700130021943","1.3050384511317","19.1842349152711","8.01860376370077","41.7978814329352","9.32459726464698","3.897484108775862"
"33.796616800001","1000","0","0.00002731157318936334","0.000014525928154637","14.701293771218","0.014648230447928","0.21534793904349","0","0","",""
"39.335890999999","1323","9444.000000000031","0.13809772984499297","0.020837800970645","14.698508934903","3.0267942004148","44.4893615989095","20.6080301941093","46.3212540110139","6.701161078678316","3.10406184494178"
"60.472145049999","1398","11409.000000000016","0.20212579535954686","0.030245159251659","14.696324029371","5.2930784227978","77.7887956143085","36.1353340334664","46.4531347324519","5.593577609448701","2.5983921432814676"
"83.235414949999","1473","12928.00000000037","0.26281490656794115","0.039138939031623","14.693933845174","7.282558434106","107.009431854368","52.9869607954601","49.5161593489925","4.959992092818028","2.4559975883772034"
"107.4724005","1549","14328.000000000142","0.3222973029552192","0.048672842506547","14.692776928978","9.5879435317754","140.873515520013","73.0299327483183","51.8407824769185","4.413221960178257","2.2878487965996137"
"133.20597965","1624","15421.000000000255","0.37548535643976283","0.057419953286428","14.690979092273","11.722135579405","172.209648713828","92.7265261583019","53.84513983440699","4.049384485715959","2.1803967387665413"
"160.4471882","1699","17055.99999999984","0.4541638645358507","0.071244700144322","14.688275784372","15.540557925172","228.264000647934","127.250169138628","55.7469284589005","3.569062953787339","1.9896429715009512"
"189.2113707","1775","18367.999999999898","0.5249100329918983","0.083721168420902","14.682723857071","19.814859592195","290.936111658834","161.03703637061","55.351340008094496","3.259560935931975","1.8042106564187366"
"219.50653345","1850","19165.000000000196","0.5718979334379528","0.09118057933021","14.679086921012","23.208958143099","340.68631392868","182.995238153396","53.7137039768802","3.1252066403966188","1.6786642434884393"
