"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.9298282999998","1000","0","-0.0009650609198045102","-0.00028202759469202","14.738415317535","0.0051675059075933","0.0761608482219257","0","0","",""
"24.6748523","1857","25937.999999999665","1.0482641356120592","0.16817815211175","14.688453674316","48.599971199036","713.858425530132","456.809029901949","63.991544200477705","2.2947535337404825","1.468448221835571"
"31.2221255","1788","24304.99999999971","0.917949884799794","0.15172357894808","14.696833410263","40.794323539734","599.547377147841","386.16892388987","64.4100764358185","2.377068241414428","1.5310714712265965"
"37.7883875","1719","21855.000000000342","0.7420836431944141","0.12950716315237","14.702233114243","32.025560855865","470.847261317303","296.396601084605","62.9496283477083","2.5036847267441895","1.5760602304837943"
"44.3770206","1650","20554.999999999938","0.6642471205776489","0.11900977423734","14.710692043304","27.582012672424","405.750494358538","256.170272599918","63.134925566734005","2.5929906457766827","1.637082714163481"
"51.47098825","1581","19399.000000000193","0.5866826576874672","0.10628395685797","14.714594841003","23.658797092438","348.129613640725","215.91145071518","62.020420629313","2.7172373477374845","1.685242032563577"
"58.4876408","1512","17995.000000000215","0.510095315410237","0.094672331484661","14.718411531448","19.588916244507","288.317730741721","178.403570337411","61.8774190121617","2.8592214519334127","1.7692124382984507"
"65.2714794","1443","16303.999999999687","0.4242566226402187","0.083228308666801","14.723920192719","14.882714109421","219.131894798168","142.099926664965","64.84675669684981","2.9856216860724203","1.9360788306557595"
"71.7837233","1374","14486.000000000082","0.333584156779206","0.068842846989436","14.72818655014","10.632908315659","156.603457243561","104.432559252774","66.6859857955456","3.1942543509996795","2.1301200027812452"
"78.4370045","1305","11968.999999999925","0.22537825369036318","0.052075036996726","14.732636852264","6.132535982132","90.3484256081929","65.2703696269456","72.2429518694643","3.452994903790469","2.494545446400402"
"85.11704","1236","8648.000000000022","0.11759822322718767","0.037016887874954","14.735964183807","2.5518947315216","37.6046293645481","33.5231023014018","89.1462111657077","3.507975549812709","3.1272272912774395"
