,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in],Propeller num
2,19135.999999999916,0.045893594286283,0.5216433488566432,6.0,3.0,1
3,18835.99999999989,0.044200948185048,0.497987972487506,6.0,3.0,1
4,18535.000000000065,0.042632348668736,0.4819086920493237,6.0,3.0,1
5,18215.99999999979,0.041117988563889,0.4629127223177946,6.0,3.0,1
6,17748.999999999607,0.03918344765115,0.4436157300881035,6.0,3.0,1
7,17349.00000000022,0.037279397942067,0.4222061262725192,6.0,3.0,1
8,16871.000000000193,0.035361593048212,0.3974507422957891,6.0,3.0,1
9,16454.000000000175,0.033530120541199,0.3771147571175886,6.0,3.0,1
10,16113.000000000213,0.031503826568389,0.3500348215002881,6.0,3.0,1
11,15528.000000000222,0.028768632296171,0.3214158800640586,6.0,3.0,1
12,15025.999999999927,0.027426457313421,0.3012915331049543,6.0,3.0,1
13,14373.000000000287,0.025256813410647,0.2756110113691628,6.0,3.0,1
14,13707.000000000226,0.022806154452897,0.2473053893063074,6.0,3.0,1
15,13107.000000000186,0.020855031320722,0.222912523317922,6.0,3.0,1
16,12345.000000000004,0.018701105718736,0.1966533026321832,6.0,3.0,1
17,11353.999999999836,0.015967866568044,0.1632733377488541,6.0,3.0,1
18,10565.99999999976,0.014181483834688,0.1396973300990144,6.0,3.0,1
19,9453.999999999967,0.011646837167078,0.1092852191499645,6.0,3.0,1
20,8059.000000000019,0.0092984091591342,0.0776424496575935,6.0,3.0,1
0,0.0,7.39107484598e-05,-0.0002617146798383,6.0,3.0,1
1,4136.999999999976,0.001492048826341,0.010865314792297,6.0,3.0,1
2,7422.999999999958,0.005397057981723,0.0411355382787027,6.0,3.0,1
3,9837.999999999878,0.0087244723490562,0.0767549773491783,6.0,3.0,1
4,11968.999999999924,0.012460445446038,0.1199748369937236,6.0,3.0,1
5,13484.000000000076,0.016230440108866,0.1571054505791988,6.0,3.0,1
6,14893.99999999988,0.019717815196409,0.1943554002402859,6.0,3.0,1
7,16059.999999999656,0.02312602591598,0.2334150884779308,6.0,3.0,1
8,17055.000000000025,0.025641424675438,0.2683932901246501,6.0,3.0,1
9,18031.999999999956,0.028173609165926,0.3031819199608225,6.0,3.0,1
10,18687.99999999998,0.031072096620358,0.3348733217666074,6.0,3.0,1
0,0.0,5.11486041928e-05,-0.0001132936348758,6.0,3.0,1
1,19033.00000000015,0.046063105062667,0.5166109061965606,6.0,3.0,1
2,18799.999999999967,0.044461852069485,0.4959037931115213,6.0,3.0,1
